"sales_key","date_key","customer_key","movie_key","store_key","sales_amount"
14597,20070215,341,749,1,7.99
14598,20070216,341,552,2,1.99
14599,20070216,341,551,1,7.99
14600,20070219,341,445,1,2.99
14601,20070220,341,563,1,7.99
14602,20070221,341,26,1,5.99
14603,20070217,342,961,2,5.99
14604,20070220,342,527,2,5.99
14605,20070220,342,449,2,2.99
14606,20070216,343,639,2,4.99
14607,20070216,343,30,1,6.99
14608,20070217,343,868,1,0.99
14609,20070217,343,545,1,0.99
14610,20070218,343,16,1,6.99
14611,20070220,343,69,2,8.99
14612,20070221,343,855,2,0.99
14613,20070215,344,738,1,3.99
14614,20070215,344,398,2,4.99
14615,20070216,344,809,2,0.99
14616,20070215,345,1,2,0.99
14617,20070215,345,159,2,4.99
14618,20070216,345,436,2,0.99
14619,20070219,345,749,2,4.99
14620,20070217,346,476,2,5.99
14621,20070221,346,906,2,2.99
14622,20070221,346,857,1,2.99
14623,20070216,347,61,1,8.99
14624,20070218,347,663,2,0.99
14625,20070220,347,878,2,4.99
14626,20070220,347,946,2,8.99
14627,20070221,347,229,2,7.99
14628,20070216,348,232,1,2.99
14629,20070217,348,170,2,8.99
14630,20070218,348,697,1,0.99
14631,20070215,349,835,1,2.99
14632,20070215,349,149,2,0.99
14633,20070220,349,334,2,6.99
14634,20070220,349,680,2,8.99
14635,20070217,350,160,2,3.99
14636,20070219,350,402,2,0.99
14637,20070220,350,462,1,2.99
14638,20070220,350,475,2,0.99
14639,20070216,351,832,1,5.99
14640,20070217,351,191,2,0.99
14641,20070219,351,150,2,2.99
14642,20070215,352,807,1,0.99
14643,20070216,352,86,1,4.99
14644,20070216,352,403,2,4.99
14645,20070216,352,31,1,4.99
14646,20070221,352,640,2,4.99
14647,20070215,353,690,1,2.99
14648,20070217,353,757,2,7.99
14649,20070221,353,774,1,6.99
14650,20070215,354,186,1,0.99
14651,20070218,354,616,1,4.99
14652,20070219,354,271,1,6.99
14653,20070220,354,761,2,2.99
14654,20070215,355,241,1,0.99
14655,20070216,355,664,2,2.99
14656,20070215,356,176,1,0.99
14657,20070218,356,788,1,2.99
14658,20070218,356,207,1,4.99
14659,20070215,357,95,2,5.99
14660,20070216,357,831,1,1.99
14661,20070217,357,629,2,1.99
14662,20070217,357,532,2,6.99
14663,20070215,358,474,2,2.99
14664,20070217,358,89,1,0.99
14665,20070217,358,774,1,5.99
14666,20070219,358,829,1,2.99
14667,20070219,358,337,1,2.99
14668,20070221,358,447,1,2.99
14669,20070215,359,255,1,4.99
14670,20070216,359,367,1,1.99
14671,20070218,359,17,2,0.99
14672,20070219,359,985,1,4.99
14673,20070215,360,901,1,0.99
14674,20070218,360,621,2,6.99
14675,20070219,360,25,2,3.99
14676,20070219,360,330,2,6.99
14677,20070218,361,708,1,4.99
14678,20070219,361,641,2,1.99
14679,20070219,361,468,1,2.99
14680,20070221,361,344,1,2.99
14681,20070215,362,895,1,2.99
14682,20070215,362,368,1,2.99
14683,20070216,362,850,2,2.99
14684,20070220,362,393,1,2.99
14685,20070221,362,356,2,2.99
14686,20070215,363,964,2,4.99
14687,20070216,363,856,2,4.99
14688,20070216,363,265,1,4.99
14689,20070219,363,938,1,4.99
14690,20070221,363,872,2,2.99
14691,20070216,364,463,2,2.99
14692,20070218,364,880,2,2.99
14693,20070219,364,898,1,4.99
14694,20070219,364,633,2,4.99
14695,20070220,364,652,1,3.99
14696,20070215,365,436,1,1.99
14697,20070216,365,745,2,6.99
14698,20070217,365,426,2,4.99
14699,20070218,365,288,2,2.99
14700,20070220,365,479,2,0.99
14701,20070215,366,890,1,1.99
14702,20070218,366,531,1,0.99
14703,20070220,367,795,1,0.99
14704,20070214,368,341,2,0.99
14705,20070215,368,260,2,9.99
14706,20070218,368,167,2,4.99
14707,20070219,368,84,1,4.99
14708,20070219,368,985,1,4.99
14709,20070221,368,504,1,4.99
14710,20070215,369,345,1,0.99
14711,20070214,370,563,1,6.99
14712,20070215,371,789,1,2.99
14713,20070215,371,54,1,1.99
14714,20070216,371,990,2,6.99
14715,20070216,371,668,2,5.99
14716,20070219,371,91,2,0.99
14717,20070220,371,432,2,3.99
14718,20070221,371,602,1,0.99
14719,20070218,372,608,1,2.99
14720,20070220,372,911,2,4.99
14721,20070221,372,869,2,3.99
14722,20070215,373,920,2,6.99
14723,20070220,373,293,1,2.99
14724,20070216,374,454,1,1.99
14725,20070217,374,191,2,1.99
14726,20070218,374,805,2,4.99
14727,20070219,374,51,2,2.99
14728,20070215,375,609,2,2.99
14729,20070215,375,35,2,5.99
14730,20070218,375,871,2,4.99
14731,20070215,376,164,2,0.99
14732,20070219,376,228,2,0.99
14733,20070219,377,25,1,3.99
14734,20070220,377,23,2,1.99
14735,20070220,377,970,2,0.99
14736,20070220,377,735,2,2.99
14737,20070221,377,358,1,4.99
14738,20070216,378,980,1,4.99
14739,20070216,378,776,2,5.99
14740,20070217,378,370,1,7.99
14741,20070219,378,867,1,4.99
14742,20070215,379,284,1,8.99
14743,20070218,379,689,1,5.99
14744,20070220,379,235,1,2.99
14745,20070217,380,526,2,3.99
14746,20070217,380,748,2,2.99
14747,20070217,380,283,1,3.99
14748,20070218,380,628,1,2.99
14749,20070218,380,102,2,4.99
14750,20070220,380,285,1,1.99
14751,20070220,380,821,2,1.99
14752,20070221,380,791,2,4.99
14753,20070215,381,425,2,3.99
